"imp","ID","scenario","initdenres","initcondit","region","soiltype","year","crop","wtd_yield","ww_yield","wtd_prod_cost_ww"
25,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.23367491337919,7.23367491337919,0
26,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.23606865647356,7.23606865647356,0
27,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.19543024703969,7.19543024703969,0
28,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.90970493672346,6.90970493672346,0
29,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.21754119604564,7.21754119604564,0
30,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.21591906699443,7.21591906699443,0
31,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.07152135196588,7.07152135196588,0
32,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.30065785839291,7.30065785839291,0
33,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.11962805702116,7.11962805702116,0
34,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.16679718039896,7.16679718039896,0
35,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.24235018475554,7.24235018475554,0
36,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.29009060830191,7.29009060830191,0
37,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.07542030129406,7.07542030129406,0
1,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
2,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
3,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
4,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
5,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
6,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
7,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
8,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
