"ID","scenario","region","soiltype","initdenres_collapsed","year","crop","ww_yield_mean","ww_yield_sd","ww_yield_se","ww_yield_n","ww_yield_ci_l","ww_yield_ci_u","prod_cost_mean","prod_cost_sd","prod_cost_se","prod_cost_n","prod_cost_ci_l","prod_cost_ci_u"
"MIT_e_h_LD-HR_2","MIT","east","heavy","LD-HR",2,"springbeans",0,0,0,74,0,0,-7.84379939803358,0.125232775844937,0.0145580144853079,74,-7.87233310642478,-7.81526568964238
"MIT_e_h_LD-HR_3","MIT","east","heavy","LD-HR",3,"winterwheat",8.970691191935,0.0408542141652986,0.00474920592945026,74,8.96138274831328,8.97999963555672,8.970691191935,0.0408542141652986,0.00474920592945026,74,8.96138274831328,8.97999963555672
"MIT_e_h_LD-HR_4","MIT","east","heavy","LD-HR",4,"winterbarley",0,0,0,74,0,0,-8.37152864696393,0.200863531671978,0.0233499112666118,74,-8.41729447304649,-8.32576282088137
"MIT_e_h_LD-HR_5","MIT","east","heavy","LD-HR",5,"wosr",0,0,0,74,0,0,-7.49516702285766,0.0429277010213686,0.00499024388043474,74,-7.50494790086331,-7.485386144852
"MIT_e_h_LD-HR_6","MIT","east","heavy","LD-HR",6,"winterwheat",8.95806599747114,0.0490591790748813,0.00570301372616514,74,8.94688809056786,8.96924390437443,8.95806599747114,0.0490591790748813,0.00570301372616514,74,8.94688809056786,8.96924390437443
"MIT_e_m_LD-HR_1","MIT","east","medium","LD-HR",1,"winterwheat",7.98,0,0,74,7.98,7.98,0.04,0,0,74,0.04,0.04
"MIT_e_m_LD-HR_2","MIT","east","medium","LD-HR",2,"springbeans",0,0,0,74,0,0,-6.74815065335169,0.204907881540862,0.0238200573891234,74,-6.79483796583437,-6.70146334086901
"MIT_e_m_LD-HR_3","MIT","east","medium","LD-HR",3,"winterwheat",7.83771499969771,0.139245091580621,0.016186913102914,74,7.805988650016,7.86944134937942,7.83771499969771,0.139245091580621,0.016186913102914,74,7.805988650016,7.86944134937942
"MIT_e_m_LD-HR_4","MIT","east","medium","LD-HR",4,"winterbarley",0,0,0,74,0,0,-6.88939659618632,0.224462171165605,0.0260931973853125,74,-6.94053926306153,-6.83825392931111
"MIT_e_m_LD-HR_5","MIT","east","medium","LD-HR",5,"wosr",0,0,0,74,0,0,-6.39047570310301,0.108418228071209,0.0126033630100669,74,-6.41517829460275,-6.36577311160328
"MIT_e_m_LD-HR_6","MIT","east","medium","LD-HR",6,"winterwheat",7.77533347136824,0.158213903421854,0.0183919926892331,74,7.73928516569734,7.81138177703914,7.77533347136824,0.158213903421854,0.0183919926892331,74,7.73928516569734,7.81138177703914
"MIT_e_l_LD-HR_1","MIT","east","light","LD-HR",1,"winterwheat",6.67,0,0,74,6.67,6.67,0.19,0,0,74,0.19,0.19
"MIT_e_l_LD-HR_2","MIT","east","light","LD-HR",2,"driedpeas",0,0,0,74,0,0,-5.51603049642376,0.164513390934668,0.019124293237894,74,-5.55351411117003,-5.47854688167749
"MIT_e_l_LD-HR_3","MIT","east","light","LD-HR",3,"winterwheat",6.55914274890972,0.12633898070719,0.0146866081885118,74,6.53035699686024,6.58792850095921,6.55914274890972,0.12633898070719,0.0146866081885118,74,6.53035699686024,6.58792850095921
"MIT_e_l_LD-HR_4","MIT","east","light","LD-HR",4,"winterbarley",0,0,0,74,0,0,-5.67293090703336,0.188482114985173,0.0219106008124674,74,-5.7158756846258,-5.62998612944093
"MIT_e_l_LD-HR_5","MIT","east","light","LD-HR",5,"wosr",0,0,0,74,0,0,-5.2333556969422,0.0870739450332445,0.0101221405062238,74,-5.2531950923344,-5.21351630155
"MIT_e_l_LD-HR_6","MIT","east","light","LD-HR",6,"winterwheat",6.4872362475489,0.136268926016964,0.0158409408836283,74,6.45618800341699,6.51828449168081,6.4872362475489,0.136268926016964,0.0158409408836283,74,6.45618800341699,6.51828449168081
"MIT_n_h_HD-HR_1","MIT","north","heavy","HD-HR",1,"setaside",0,0,0,74,0,0,-8.2175,0.149513663644625,0.0173806103586253,74,-8.25156599630291,-8.1834340036971
"MIT_n_h_HD-HR_2","MIT","north","heavy","HD-HR",2,"sosr",0,0,0,74,0,0,-7.06378054567861,0.241788404651146,0.0281073311163309,74,-7.11887091466662,-7.00869017669061
"MIT_n_h_HD-HR_3","MIT","north","heavy","HD-HR",3,"springbarley",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_n_h_HD-HR_4","MIT","north","heavy","HD-HR",4,"winterwheat",7.16796858646166,0.498994813611558,0.0580069688277558,74,7.05427492755926,7.28166224536406,-0.376536933277109,0.539928566089509,0.0627654208982416,74,-0.499557158237663,-0.253516708316556
"MIT_n_h_HD-HR_5","MIT","north","heavy","HD-HR",5,"wosr",0,0,0,74,0,0,-7.07403255055391,0.149159258034019,0.0173394115432348,74,-7.10801779717865,-7.04004730392917
"MIT_n_h_HD-HR_6","MIT","north","heavy","HD-HR",6,"winterwheat",7.91900994926553,0.390973958236742,0.0454497994553458,74,7.82992834233306,8.00809155619801,7.91900994926553,0.390973958236742,0.0454497994553458,74,7.82992834233306,8.00809155619801
"MIT_n_m_HD-HR_1","MIT","north","medium","HD-HR",1,"setaside",0,0,0,74,0,0,-7.285,0.13189420833297,0.0153323902826931,74,-7.31505148495408,-7.25494851504592
"MIT_n_m_HD-HR_2","MIT","north","medium","HD-HR",2,"sosr",0,0,0,74,0,0,-6.41827795308764,0.208690320537799,0.0242597569912099,74,-6.46582707679041,-6.37072882938487
"MIT_n_m_HD-HR_3","MIT","north","medium","HD-HR",3,"springbarley",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_n_m_HD-HR_4","MIT","north","medium","HD-HR",4,"winterwheat",6.50406278839982,0.418039073066534,0.0485960551466395,74,6.40881452031241,6.59931105648724,-0.447474938559101,0.432428176254357,0.0502687544158651,74,-0.546001697214197,-0.348948179904006
"MIT_n_m_HD-HR_5","MIT","north","medium","HD-HR",5,"wosr",0,0,0,74,0,0,-6.4531549437889,0.0993070299640241,0.0115442077439795,74,-6.4757815909671,-6.4305282966107
"MIT_n_m_HD-HR_6","MIT","north","medium","HD-HR",6,"winterwheat",7.24647396080522,0.320660902973219,0.0372760728080977,74,7.17341285810135,7.3195350635091,7.24647396080522,0.320660902973219,0.0372760728080977,74,7.17341285810135,7.3195350635091
"MIT_n_l_HD-HR_1","MIT","north","light","HD-HR",1,"setaside",0,0,0,74,0,0,-5.9475,0.107226970896651,0.0124648821763879,74,-5.97193116906572,-5.92306883093428
"MIT_n_l_HD-HR_2","MIT","north","light","HD-HR",2,"sosr",0,0,0,74,0,0,-5.19379860018414,0.172162074002903,0.0200134345840762,74,-5.23302493196893,-5.15457226839935
"MIT_n_l_HD-HR_3","MIT","north","light","HD-HR",3,"springbarley",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_n_l_HD-HR_4","MIT","north","light","HD-HR",4,"winterwheat",5.30986163308184,0.339811855806879,0.0395023258547049,74,5.23243707440662,5.38728619175706,-0.320614404009346,0.350027441361864,0.0406898635538573,74,-0.400366536574907,-0.240862271443786
"MIT_n_l_HD-HR_5","MIT","north","light","HD-HR",5,"wosr",0,0,0,74,0,0,-5.22478262706455,0.0865278578740304,0.0100586591634168,74,-5.24449759902484,-5.20506765510425
"MIT_n_l_HD-HR_6","MIT","north","light","HD-HR",6,"winterwheat",5.91615248089515,0.260656557228836,0.0303007093009454,74,5.85676309066529,5.975541871125,5.91615248089515,0.260656557228836,0.0303007093009454,74,5.85676309066529,5.975541871125
"MIT_c_h_HD-HR_1","MIT","central","heavy","HD-HR",1,"winterwheat",8.275,0.15001707665353,0.0174391309322235,74,8.24081930337284,8.30918069662716,0.0574999999999984,0.000503413008904214,5.85205735980361e-05,74,0.0573852996757462,0.0576147003242505
"MIT_c_h_HD-HR_2","MIT","central","heavy","HD-HR",2,"springbarley",0,0,0,74,0,0,-7.06584665581004,0.242273081562942,0.0281636736628807,74,-7.12104745618929,-7.01064585543079
"MIT_c_h_HD-HR_3","MIT","central","heavy","HD-HR",3,"springbeans",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_c_h_HD-HR_4","MIT","central","heavy","HD-HR",4,"winterwheat",8.39949441572019,0.333797337321348,0.0388031522825808,74,8.32344023724633,8.47554859419405,0.854441802702752,0.370157640167125,0.0430299516324125,74,0.770103097503223,0.93878050790228
"MIT_c_h_HD-HR_5","MIT","central","heavy","HD-HR",5,"springbarley",0,0,0,74,0,0,-7.07649169883781,0.148565013167075,0.0172703319806169,74,-7.11034154951982,-7.0426418481558
"MIT_c_h_HD-HR_6","MIT","central","heavy","HD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_c_m_HD-HR_1","MIT","central","medium","HD-HR",1,"winterwheat",7.3275,0.133404447359683,0.0155079520034873,74,7.29710441407317,7.35789558592684,0.0425000000000004,0.00151023902671344,0.000175561720794202,74,0.0421558990272438,0.0428441009727571
"MIT_c_m_HD-HR_2","MIT","central","medium","HD-HR",2,"springbarley",0,0,0,74,0,0,-6.41827795308764,0.208690320537799,0.0242597569912099,74,-6.46582707679041,-6.37072882938487
"MIT_c_m_HD-HR_3","MIT","central","medium","HD-HR",3,"springbeans",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_c_m_HD-HR_4","MIT","central","medium","HD-HR",4,"winterwheat",7.59853483445579,0.237143133755976,0.0275673293434419,74,7.54450286894264,7.65256679996893,0.646997107496864,0.281836936390874,0.0327628783662311,74,0.582781865899051,0.711212349094677
"MIT_c_m_HD-HR_5","MIT","central","medium","HD-HR",5,"springbarley",0,0,0,74,0,0,-6.4531549437889,0.0993070299640241,0.0115442077439795,74,-6.4757815909671,-6.4305282966107
"MIT_c_m_HD-HR_6","MIT","central","medium","HD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_c_l_HD-HR_1","MIT","central","light","HD-HR",1,"winterwheat",6.175,0.111757687976791,0.0129915673387705,74,6.14953652801601,6.20046347198399,0.2275,0.00453071708013968,0.000526685162382529,74,0.22646769708173,0.228532302918269
"MIT_c_l_HD-HR_2","MIT","central","light","HD-HR",2,"springbarley",0,0,0,74,0,0,-5.19379860018414,0.172162074002903,0.0200134345840762,74,-5.23302493196893,-5.15457226839935
"MIT_c_l_HD-HR_3","MIT","central","light","HD-HR",3,"driedpeas",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_c_l_HD-HR_4","MIT","central","light","HD-HR",4,"winterwheat",6.48806345972999,0.154174421648348,0.0179224124713144,74,6.45293553128621,6.52319138817376,0.857587422638803,0.218577830364113,0.0254091566615752,74,0.807785475582116,0.907389369695491
