"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","ww_mean","ww_ci_l","ww_ci_u","pc_mean","pc_ci_l","pc_ci_u"
"upper","MIT_upper","MIT","central","light","LD-LR",3.41384799381827,0.421297655013126,6.4063983326234,-0.317892870620751,-3.97487276107307,3.33908701983156
"lower","MIT_lower","MIT","central","light","LD-HR",2.15401614414283,-0.516145386361858,4.82417767464752,-1.81244086929223,-4.15028948419316,0.525407745608699
"upper","MIT_upper","MIT","central","light","LD-HR",2.02699039953661,-0.490276282838147,4.54425708191137,-1.09531329466464,-3.23550024927669,1.04487365994741
"lower","MIT_lower","MIT","central","light","HD-HR",2.19540715370781,-0.526303464765508,4.91711777218112,-1.70542556213969,-4.06172995523342,0.650878830954037
"upper","MIT_upper","MIT","central","light","HD-HR",1.72376111835703,-0.424831734467443,3.87235397118151,-0.921582469288888,-2.88990659330147,1.04674165472369
"lower","MIT_lower","MIT","east","heavy","LD-LR",5.74581877648091,2.16046306668227,9.33117448627955,0.15207803536146,-5.8848762276315,6.18903229835442
"upper","MIT_upper","MIT","east","heavy","LD-LR",5.63071753781819,2.12258121064264,9.13885386499373,0.2140581673133,-5.6430579061432,6.0711742407698
"lower","MIT_lower","MIT","east","heavy","LD-HR",4.50167660195157,0.555781944893885,8.44757125900926,-1.05276938602626,-7.78545993579996,5.67992116374744
"upper","MIT_upper","MIT","east","heavy","LD-HR",4.39220544248169,0.542034451003101,8.24237643396028,-0.484492674111304,-6.58663197382587,5.61764662560327
"lower","MIT_lower","MIT","east","heavy","HD-HR",2.81601678074157,-0.683696923366332,6.31573048484948,-2.66872869890127,-8.34359842785337,3.00614103005083
"upper","MIT_upper","MIT","east","heavy","HD-HR",2.67123670923201,-0.650741358157051,5.99321477662107,-1.60885300834946,-6.32826904100044,3.11056302430151
"lower","MIT_lower","MIT","east","medium","LD-LR",5.07877352694662,1.91023276389667,8.24731428999657,0.138561406225112,-5.1900943997846,5.46721721223483
"upper","MIT_upper","MIT","east","medium","LD-LR",4.77004344979237,1.79744964832328,7.74263725126145,0.232814819401047,-4.61778542969621,5.08341506849831
"lower","MIT_lower","MIT","east","medium","LD-HR",3.97467131180584,0.490689754011974,7.45865286959971,-0.878560054337248,-6.77132716839501,5.01420705972051
"upper","MIT_upper","MIT","east","medium","LD-HR",3.68714230979494,0.447496634310584,6.92678798527929,-0.0963367667213917,-4.84827180307782,4.65559826963503
"lower","MIT_lower","MIT","east","medium","HD-HR",2.47500352325776,-0.601617937504202,5.55162498401972,-2.3181820937305,-7.28964436561318,2.65328017815218
