"imp","ID","scenario","initdenres","initcondit","region","soiltype","year","crop","wtd_yield","ww_yield","wtd_prod_cost_ww"
32,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.55573691058904,7.55573691058904,0
33,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.5847071006887,7.5847071006887,0
34,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.2758916200922,7.2758916200922,0
35,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.56919382574017,7.56919382574017,0
36,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.69120623821865,7.69120623821865,0
37,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.31397123482314,7.31397123482314,0
1,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.91745058205266,6.91745058205266,0
2,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.96618556240247,6.96618556240247,0
3,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.14798737864754,7.14798737864754,0
4,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.71570810546706,6.71570810546706,0
5,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.02446244262504,7.02446244262504,0
6,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.06362181128349,7.06362181128349,0
7,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.08283352414387,7.08283352414387,0
8,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.6931869608705,6.6931869608705,0
9,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.82564314343849,6.82564314343849,0
10,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.01343007066743,7.01343007066743,0
11,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.02854286049477,7.02854286049477,0
12,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.19207193176108,7.19207193176108,0
13,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.08951283702173,7.08951283702173,0
14,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.042518682783,7.042518682783,0
